title,nation,polarity,subjectivity
Momotaro,Japanese,0.24005196602852844,0.44981231231231233
The Birdcatcher,Serbian,0.1691114000171204,0.5397123780174627
Sharing Joy and Sorrow,German,0.20909090909090905,0.4044871794871795
The Punishment of Gangana,French,0.08675686751059891,0.5063761893164881
The Peace with the Snakes,North American Native,0.11651889581347304,0.4671501741722332
How the Tiger Got His Stripes,Brazilian,0.16428200412956506,0.4673938572719059
The Old Woman and the Cat,Armenian,0.25364583333333335,0.4270833333333334
A Blow in the Dark,North American Native,0.03982993197278911,0.36292517006802727
The Sacred Milk of Koumongoe,North American Native,0.10551077545642769,0.4880723775017256
Gobborn Seer,English,0.15476631393298065,0.4944620811287478
Titty Mouse and Tatty Mouse,English,-0.07178406084656082,0.4144951499118164
Father Frost,Russian,0.18170700724172964,0.5214078616856398
The Ass and his Driver,Greek,0.08083333333333333,0.5041666666666667
The Peasant in Heaven,German,0.23238636363636364,0.5530303030303029
The Thieves and the Cock,Greek,0.31500000000000006,0.3
"Okteondon and His Uncle, The Planter, or, Winter Delaying Spring",North American Native,0.059989458350184995,0.3968738047803796
The Prince and the Princess in the Forest,Danish,0.09098568069337036,0.5093556046013912
The Children with One Eye,Canadian Native,0.0021038773636176283,0.5271701710987428
The Crystal Ball,German,0.0803727144866385,0.4637201125175806
The Seven-Headed Serpent,Greek,0.06246907620857199,0.4735800007648747
The Beautiful Damsel and the Wicked Old Woman,Ukrainian,0.17658021541950109,0.34793083900226746
The Wicked Wolverine,North American Native,0.00419605981267055,0.5098343043980628
The King Who Was Fried,Indian,0.1731865279781947,0.5404909926933739
The Hobyahs,English,-0.03468635856331169,0.34583333333333327
Hans the Hedgehog,German,0.16891079627443262,0.48875685425685417
The Youth and the Dog-Dance,Canadian Native,0.20842752926086267,0.5361816578483244
The Giant Who Had No Heart in His Body,Norwegian,0.09940427186814467,0.5823162675474816
How Perseus Came to the Æthiops,Greek,0.15426789694395335,0.4934370194229354
The Story of Gelert,Welsh,0.1445982142857143,0.3990730565730565
The Mail-Coach Passengers,Scandinavian,0.13024067027417033,0.5099168946608947
Minnikin,Norwegian,0.08829101171658427,0.3955957980385464
Prince Kindhearted,Polish,0.08734743897559016,0.49910564225690274
"Swanda, the Piper",Czechoslovak,0.1643243386243386,0.5157280423280423
The Dog and the Wolf,Greek,0.17742857142857144,0.5941684981684981
The Laird O' Co',Scottish,0.03984197845804989,0.5174178004535148
The Three Red Piggies,Danish,0.11276675548431873,0.4578438316254772
How Theseus Slew the Devourers of Men,Greek,0.09069614493356641,0.5086539363268932
Old Man and the Fox,North American Native,0.11653962101636524,0.4410508182601206
Story of the Knight Yaroslav Lasarevich and the Princess Anastasia,Russian,0.16739119638002234,0.4760653475535597
The Lost Woman,North American Native,0.05448369751941174,0.47811602418745286
Andrew Coffey,Celtic,0.02476286482334871,0.4751979860044377
The Wonderful Exploits of Grasshopper,North American Native,0.12151243704034706,0.4616124579828825
The Daughter of the King of Naples,Portuguese,0.22396640211640204,0.561943386243386
The Fairy Mother,Greek,0.11735702614379087,0.5334191176470592
The Grave-Mound,German,0.04880016983999282,0.525562930186824
A Story from the Sand-Dunes,Scandinavian,0.13812522575832153,0.48735643731472905
How the Ducks Got Their Fine Feathers,North American Native,0.15640715545477446,0.5296976568405137
God and the Devil,Russian,0.08549549549549551,0.571846846846847
The Cripple,Danish,0.21969138912203987,0.5353995193036291
The Milkmaid and Her Pail,Greek,0.08712121212121211,0.28484848484848485
Little Muck,Arabic,0.08735986863247273,0.5028599529865352
Fisherman Plunk and His Wife,Croatian,0.05927875132366582,0.47842364437421475
How Glooskap Made the Birds,Canadian Native,0.09753851971491564,0.5259819002204791
The Ice Maiden,Danish,0.13260686190140167,0.49527302065041423
The Fool Who Sold Wisdom,French,0.23892857142857143,0.7119444444444445
Quarrel of the Dogs and Cats,French,0.2569444444444444,0.5203703703703704
The First Woman,North American Native,0.10298301193755739,0.5062828282828282
The Dolls' Christmas Party,North American Native,0.022378968253968255,0.47270634920634924
The Grateful Prince,Estonian,0.09169311883145817,0.4662790443802465
Brabo and the Giant,Dutch,0.128604210852533,0.5561664100254705
Zlatovlaska the Golden-Haired: The Story of Yirik and the Snake,Czechoslovak,0.1658873767094648,0.4895136429227345
Mouse and Mouser,English,0.4888888888888887,0.5680555555555556
The Two Cakes,Italian,0.24530766242304708,0.5467077580539119
The Council Held by the Rats,French,0.11536458333333333,0.38742559523809517
The Tory's Conversion,North American Native,0.005381944444444464,0.463263888888889
The Filial Girl,Japanese,0.19999999999999998,0.4909420289855073
The Tortoise with a Pretty Daughter,Nigerian,0.1716702203269367,0.4945273631840797
The Ugly Duckling,Scandinavian,0.07561616104251762,0.5569069661317723
The Widow's Son,Norwegian,0.13724072224072226,0.49365431129716897
The Bald Man and the Fly,Greek,0.25115740740740744,0.7398148148148148
The Elfin Grove,German,0.0899821643003461,0.5038876527512891
The Rooster and the Pearl,Greek,-0.0053968253968254,0.48063492063492064
The Dog and the Hides,Greek,-0.09583333333333333,0.44999999999999996
The Snake and the King's Daughter,Albanian,0.05970510112647206,0.412868450247483
The Six Brothers,Maori,0.19405651980418345,0.5852714730752113
The Ice King and His Wonderful Grandchild,Dutch,0.13281275182249208,0.5435868893011747
Bunny Rabbit and the King of the Beasts,North American Native,0.13560639880952383,0.5218601190476191
The Beginning of the Armadillos,English,0.24396574040671257,0.557762347391977
Prometheus and the Making of Man,Greek,-0.006249999999999999,0.59375
The Snowman,Nordic,0.1648552990219657,0.5572016460905348
Raṇavîrasiṅg,Indian,0.07832760771166573,0.4709511509692668
The Biter Bit,German,0.09969609910000087,0.4569420463929133
The Elf of the Rose,Nordic,0.09605908289241623,0.5885493827160498
Brother Giovanne,Italian,0.032921918767507,0.35997899159663865
The Butterfly,Danish,0.11707665880630992,0.49387895050685754
The Child Who Came from an Egg,Estonian,0.11148011118941355,0.5154241473427525
Thor and Hymer,Nordic,0.05378571428571431,0.5572142857142859
"The Affair of the Hippopotamus and the Tortoise; or, Why the Hippopotamus lives in the Water",Nigerian,0.07362391193036355,0.38165642601126487
The War of the Wolf and the Fox,German,0.13791914682539685,0.4267467403628117
Why Spuyten Duyvil is so Named,North American Native,-0.007676767676767679,0.43792929292929295
"The Story of Rags Habakuk, the Two Blue Rats, and the Circus Man Who Came with Spot Cash Money",North American Native,0.0921257391845627,0.3122510115157174
Monday! Tuesday!,Irish,0.14348902224108542,0.5056321260898727
Why the Kingfisher Always Wears a War-Bonnet,North American Native,0.07037040937643349,0.458305014931521
The Strong Prince,Hungarian,0.026239568664267455,0.49573019350127795
Bunny Cottontail and the Crane,North American Native,0.02760416666666666,0.4378906249999999
